KONTNUAR,290001
NUAR,290002
SOKUM,290003
TRANÇ,290004
YUMURTA,290005
İNCİK,290006
ANTRiKOT,290007
FELÇETE,290008
KOL,290009
GERDAN,290010
DÖŞ,290011
BİFTEK,290012
BONFİLE,290013
